-,-,-
-15, -93, 975
-24, -107, 940
-24, -107, 940
-40, -99, 928
-45, -87, 999
-41, -114, 987
-53, -140, 911
-98, -172, 815
-127, -211, 752
-136, -246, 715
-136, -246, 715
-164, -265, 656
-221, -245, 582
-218, -233, 528
-164, -254, 653
-128, -302, 760
-151, -338, 784
-156, -357, 748
-113, -373, 743
-76, -351, 854
-32, -333, 895
36, -305, 913
36, -305, 913
126, -244, 958
219, -230, 1044
362, -231, 1192
517, -143, 1356
634, -3, 1479
686, 24, 1445
773, 51, 1522
773, 51, 1522
850, 23, 1581
879, -24, 1475
849, -12, 1329
808, -31, 1199
776, -94, 1101
747, -185, 1079
703, -225, 1014
703, -225, 1014
623, -196, 947
548, -124, 863
483, -72, 794
440, -99, 780
371, -147, 842
308, -219, 861
228, -283, 910
228, -283, 910
138, -295, 976
51, -317, 1002
-57, -345, 997
-193, -365, 1009
-298, -360, 1001
-363, -373, 989
-418, -416, 990
-456, -435, 1013
-439, -459, 1056
-410, -449, 1077
-,-,-
-178, -113, 625
-215, -152, 519
-222, -171, 498
-284, -184, 502
-323, -234, 496
-346, -357, 523
-360, -481, 579
-377, -537, 535
-366, -496, 515
-322, -477, 538
-275, -484, 659
-275, -484, 659
-267, -463, 796
-207, -405, 891
-109, -306, 1025
-14, -177, 1079
83, -113, 1057
209, -113, 1092
369, -102, 1270
510, -93, 1393
602, -34, 1308
711, 50, 1242
797, 107, 1318
797, 107, 1318
877, 96, 1336
956, 84, 1371
985, 100, 1404
961, 114, 1289
896, 108, 1233
824, 57, 1186
824, 57, 1186
760, -23, 1126
694, -107, 1061
626, -170, 964
547, -199, 885
454, -201, 818
393, -174, 788
373, -201, 819
373, -201, 819
359, -243, 882
312, -221, 912
219, -159, 904
142, -174, 960
92, -254, 1055
-39, -310, 1139
-201, -274, 1151
-319, -246, 1083
-330, -292, 1015
-298, -391, 1019
-241, -484, 1118
-,-,-
-253, -79, 423
-253, -79, 423
-349, -150, 377
-434, -238, 315
-470, -343, 265
-453, -402, 373
-407, -454, 478
-370, -480, 622
-287, -467, 831
-187, -413, 900
-108, -361, 929
-31, -286, 1040
118, -185, 1094
255, -77, 1283
384, -82, 1342
384, -82, 1342
475, -115, 1395
555, -70, 1390
641, -9, 1325
713, -7, 1361
731, -17, 1384
734, -81, 1283
734, -81, 1283
759, -65, 1252
776, -47, 1238
767, -42, 1144
769, -35, 1057
772, -43, 1057
765, -70, 1032
757, -102, 965
732, -129, 944
732, -129, 944
687, -154, 889
611, -146, 831
556, -135, 778
519, -129, 811
487, -158, 834
421, -173, 879
355, -187, 946
355, -187, 946
266, -204, 983
145, -223, 1028
-23, -268, 1078
-219, -322, 1135
-376, -412, 1176
-434, -521, 1154
-,-,-
-383, -160, 120
-449, -227, 118
-450, -310, 144
-470, -389, 167
-451, -405, 322
-388, -440, 472
-297, -481, 563
-192, -482, 672
-90, -457, 878
-27, -341, 961
59, -280, 911
59, -280, 911
197, -227, 999
328, -140, 1203
441, -113, 1247
621, -91, 1348
786, -25, 1575
914, -42, 1670
1025, -155, 1755
1052, -137, 1619
1025, -110, 1433
981, -96, 1265
981, -96, 1265
938, -61, 1113
888, -102, 1044
818, -197, 1022
729, -185, 918
660, -122, 847
597, -92, 808
541, -96, 811
484, -114, 854
484, -114, 854
419, -119, 863
326, -127, 882
191, -168, 914
-4, -226, 964
-218, -357, 1017
-386, -522, 1099
-484, -697, 1130
-,-,-
-343, -272, 37
-394, -343, -83
-452, -347, -90
-453, -359, -118
-432, -350, -40
-385, -376, 118
-385, -376, 118
-354, -380, 263
-326, -343, 421
-269, -337, 615
-181, -320, 731
-138, -292, 831
-112, -242, 885
23, -160, 1002
195, -131, 1188
331, -176, 1364
442, -173, 1443
590, -91, 1495
740, -34, 1639
740, -34, 1639
900, 2, 1737
981, -72, 1791
1008, -116, 1663
1002, -146, 1523
959, -156, 1408
881, -123, 1249
787, -93, 1083
696, -147, 976
624, -209, 930
624, -209, 930
576, -258, 881
516, -271, 854
427, -218, 866
354, -170, 840
304, -195, 807
243, -205, 890
141, -190, 949
0, -185, 958
0, -185, 958
-155, -246, 991
-305, -357, 1040
-418, -453, 1136
-476, -515, 1121
-,-,-
-413, -248, 79
-449, -306, 114
-458, -351, 168
-456, -383, 172
-431, -388, 213
-357, -413, 388
-267, -465, 608
-194, -480, 715
-96, -459, 795
6, -344, 988
6, -344, 988
101, -252, 1099
207, -179, 1168
345, -103, 1272
480, -36, 1434
591, 15, 1478
700, 66, 1554
700, 66, 1554
760, 96, 1640
762, 122, 1525
764, 121, 1462
762, 97, 1394
737, 19, 1263
737, 19, 1263
715, -2, 1170
717, 0, 1142
729, -35, 1094
721, -107, 1095
696, -136, 1045
647, -85, 985
647, -85, 985
584, -32, 920
540, -34, 917
495, -56, 930
417, -85, 961
319, -110, 995
319, -110, 995
183, -139, 972
3, -162, 969
-158, -204, 965
-288, -308, 999
-361, -474, 1124
-384, -622, 1148
-373, -664, 1124
-339, -575, 1063
-,-,-
-347, -283, 195
-403, -287, 32
-423, -297, -26
-473, -300, -58
-450, -304, 22
-373, -339, 161
-295, -352, 335
-216, -355, 517
-216, -355, 517
-133, -377, 690
-49, -350, 913
50, -284, 1037
160, -259, 1223
237, -237, 1364
280, -185, 1335
357, -128, 1283
452, -41, 1362
548, 7, 1414
548, 7, 1414
640, 90, 1373
755, 134, 1439
819, 130, 1452
844, 105, 1428
850, 101, 1336
844, 150, 1211
844, 150, 1211
828, 199, 1170
806, 130, 1178
764, -16, 1180
704, -50, 1108
631, 0, 940
527, 68, 821
527, 68, 821
430, 54, 755
356, -41, 799
308, -151, 874
251, -199, 930
251, -199, 930
165, -207, 993
76, -204, 1009
-9, -238, 1023
-79, -331, 1048
-151, -418, 1081
-197, -478, 1111
-222, -520, 1176
-212, -516, 1182
-,-,-
-198, -307, 278
-251, -353, 230
-320, -330, 173
-320, -330, 173
-374, -339, 158
-398, -381, 205
-403, -405, 300
-353, -429, 440
-314, -442, 645
-253, -423, 812
-148, -400, 972
-49, -284, 1097
37, -155, 1114
157, -130, 1255
296, -164, 1384
426, -73, 1400
426, -73, 1400
535, 79, 1448
626, 128, 1421
713, 122, 1404
775, 128, 1461
798, 189, 1403
792, 184, 1337
774, 163, 1261
774, 163, 1261
757, 126, 1180
753, 64, 1151
739, 60, 1128
708, 89, 1064
685, 69, 986
685, 69, 986
667, 18, 938
635, -60, 868
592, -102, 807
540, -82, 754
498, -36, 760
498, -36, 760
472, -23, 828
427, -49, 909
352, -95, 958
228, -174, 1005
65, -270, 1035
65, -270, 1035
-99, -362, 1073
-221, -449, 1158
-293, -485, 1177
-318, -544, 1172
-,-,-
-367, -140, -81
-489, -173, -283
-548, -230, -410
-557, -386, -363
-525, -592, -170
-467, -666, 4
-347, -659, 144
-170, -587, 438
-12, -475, 756
133, -485, 1050
280, -389, 1158
428, -89, 1288
428, -89, 1288
562, 111, 1419
718, 155, 1545
869, 197, 1685
967, 210, 1780
978, 274, 1715
977, 276, 1710
939, 218, 1593
939, 218, 1593
891, 201, 1491
830, 140, 1372
778, 75, 1250
757, 28, 1170
751, -11, 1110
735, -43, 1053
735, -43, 968
719, -73, 968
725, -50, 872
747, 2, 770
743, 48, 718
743, 48, 718
706, 15, 715
641, 33, 682
549, 65, 653
414, 40, 702
414, 40, 702
259, -98, 808
74, -306, 949
-120, -415, 1015
-263, -489, 1078
-313, -629, 1151
-303, -799, 1323
-265, -748, 1407
-,-,-
-334, -369, -131
-440, -388, -244
-509, -524, -255
-524, -662, -182
-456, -743, -42
-329, -785, 194
-232, -751, 466
-148, -608, 546
11, -429, 658
216, -273, 913
216, -273, 913
439, -91, 1183
696, 147, 1537
882, 445, 1822
974, 571, 1860
1032, 559, 1858
1019, 576, 1767
945, 448, 1683
879, 284, 1558
879, 284, 1558
823, 203, 1420
785, 154, 1268
762, 85, 1144
748, 32, 1093
725, -38, 1022
701, -69, 1005
687, -31, 952
687, -31, 952
662, 48, 830
622, 81, 765
580, 60, 778
580, 60, 778
518, 15, 787
447, -3, 778
383, -3, 801
307, -10, 830
307, -10, 830
226, -62, 899
112, -152, 1041
-10, -240, 1152
-76, -309, 1146
-113, -394, 1141
-113, -519, 1247
-107, -587, 1284
-87, -533, 1189
-51, -420, 1041
-19, -314, 1037
32, -247, 1062
-,-,-
-325, -116, 94
-366, -164, -33
-388, -295, -44
-388, -295, -44
-448, -447, -66
-500, -602, -154
-472, -699, -44
-408, -746, 97
-364, -728, 172
-218, -666, 356
-16, -536, 635
145, -390, 845
292, -249, 987
499, -49, 1260
694, 124, 1502
694, 124, 1502
819, 183, 1614
930, 268, 1734
1001, 299, 1812
1002, 329, 1822
922, 232, 1653
859, 174, 1513
826, 102, 1497
787, 49, 1501
787, 49, 1501
716, -25, 1332
647, -61, 1182
616, -105, 1169
600, -160, 1173
588, -177, 1121
578, -196, 1069
574, -162, 1020
580, -170, 982
573, -191, 954
573, -191, 954
563, -164, 913
547, -112, 821
516, -72, 764
495, -37, 782
471, -55, 817
415, -92, 830
415, -92, 830
315, -92, 853
220, -101, 863
151, -142, 885
68, -247, 972
-49, -340, 1099
-49, -340, 1081
-169, -367, 1081
-242, -383, 1088
-254, -428, 1122
-231, -487, 1144
-203, -489, 1161
-161, -423, 1128
-103, -361, 1143
-,-,-
-356, -186, 273
-419, -233, 209
-403, -277, 173
-372, -316, 279
-348, -393, 491
-280, -391, 648
-131, -326, 744
-23, -332, 826
43, -329, 998
152, -212, 1155
152, -212, 1155
268, -113, 1312
332, -104, 1430
338, -92, 1449
