-,-,-
50, -20, 990
13, -18, 971
52, 2, 924
52, 2, 924
50, -13, 860
53, 45, 964
34, 45, 1074
34, 45, 1074
46, 46, 1178
82, 42, 1318
50, 26, 1495
50, 26, 1495
-152, -77, 1879
-363, -166, 1998
-349, -33, 1998
-260, 218, 1990
-167, 299, 1726
-130, 258, 1396
-118, 153, 1182
-112, 116, 911
-116, 107, 610
-89, 161, 196
-89, 161, 196
12, 295, -302
77, 347, -841
57, 248, -1121
60, 169, -1127
19, 158, -936
19, 158, -936
-82, -60, -228
-140, -329, 406
-92, -289, 1039
-62, -150, 1559
85, 234, 1872
18, 203, 1998
44, 185, 1994
44, 185, 1994
147, 141, 1702
210, 7, 1448
-,-,-
81, -7, 1058
81, -7, 1058
113, 9, 1260
30, -91, 1534
-66, -93, 1828
-143, 3, 1997
-143, 3, 1997
-201, 92, 1998
-220, 174, 1954
-200, 262, 1800
-226, 244, 1674
-279, 193, 1525
-272, 143, 1235
-169, 158, 727
-38, 182, 378
1, 95, 195
1, 95, 195
49, -8, 36
117, -66, -183
117, -66, -183
171, -125, -361
174, -159, -486
163, -184, -478
192, -142, -567
251, -48, -654
243, 23, -527
128, -68, -89
11, -189, 440
11, -189, 440
35, -83, 973
40, -14, 1489
0, 50, 1897
4, 141, 1998
-,-,-
100, -50, 966
85, -63, 1028
168, -34, 1204
226, -12, 1423
226, -12, 1423
174, -116, 1713
44, -246, 1974
-56, -237, 1998
-40, 4, 1998
-32, 205, 1877
-39, 233, 1604
-13, 253, 1240
-33, 179, 966
-33, 179, 966
-58, 100, 793
-38, 84, 581
1, 49, 350
1, 49, 350
22, -25, 7
57, -54, -284
72, -55, -521
72, -55, -521
134, 13, -683
182, 52, -757
203, 186, -612
112, 85, -185
13, -214, 173
13, -214, 173
-37, -337, 567
-7, -168, 1296
-1, 99, 1766
-,-,-
185, 103, 1162
134, 54, 1365
23, -52, 1607
-130, -185, 1920
-233, -143, 1998
-322, -59, 1998
-322, -59, 1998
-303, 48, 1970
-214, 130, 1590
-106, 242, 1181
-88, 230, 966
-104, 134, 812
-69, 78, 650
-16, 8, 397
-16, 8, 397
4, -93, 247
60, -102, -2
142, -4, -270
142, -4, -270
194, 29, -482
259, 54, -596
270, 34, -742
234, 248, -651
100, 144, -190
100, 144, -190
-119, -237, 198
-157, -294, 740
-77, -75, 1375
-,-,-
147, -19, 991
78, -68, 1238
162, 30, 1567
25, -197, 1512
25, -197, 1512
-56, -180, 1684
-120, -55, 1980
-194, 7, 1995
-226, 124, 1980
-221, 207, 1861
-195, 162, 1385
-135, 196, 1163
-118, 93, 992
-39, 14, 587
-39, 14, 587
93, 9, 182
210, 6, -70
250, -46, -278
250, -46, -278
263, -31, -365
304, -4, -637
373, 20, -937
281, 178, -886
76, 251, -394
-132, -107, 104
-146, -265, 278
-146, -265, 278
-,-,-
46, -34, 1168
-6, -25, 1379
-88, 8, 1838
-88, 8, 1838
-201, -52, 1997
-205, 79, 1820
-208, 221, 1792
-245, 174, 1637
-177, 217, 1332
-130, 204, 1162
-151, 107, 983
-107, -18, 555
-107, -18, 555
14, 39, 392
33, -59, 385
13, -188, 292
65, -192, 217
65, -192, 217
148, -74, -6
227, 30, -299
307, 52, -635
-,-,-
55, 110, 1224
11, 43, 1336
-72, -95, 1563
-104, -139, 1695
-109, -58, 1795
-116, 43, 1857
-116, 43, 1857
-158, 37, 1861
-151, 84, 1680
-105, 183, 1497
-118, 148, 1352
-111, 86, 1139
-69, 61, 890
10, 59, 616
10, 59, 616
88, 52, 333
188, 97, 62
228, 115, -164
228, 115, -164
255, 102, -413
-,-,-
53, 111, 1012
53, 111, 1012
70, 206, 1164
54, 172, 1289
36, 43, 1455
24, 5, 1617
24, 5, 1617
-4, 56, 1713
-110, 74, 1962
-154, 126, 1992
-81, 285, 1799
-81, 285, 1799
-50, 279, 1493
-16, 229, 1106
23, 192, 857
23, 109, 657
75, 69, 416
75, 69, 416
153, 57, 11
169, -2, -274
123, -91, -429
164, -156, -806
-,-,-
57, -7, 1418
139, 55, 1471
200, 105, 1517
123, 127, 1727
123, 127, 1727
-3, 93, 1962
-55, 94, 1919
-77, 187, 1829
-61, 222, 1551
-35, 172, 1216
1, 147, 988
1, 147, 988
13, 77, 803
-21, -37, 767
-15, -168, 633
-15, -168, 633
59, -163, 437
114, -165, 166
160, -208, -182
194, -197, -376
171, -171, -480
140, -92, -608
95, 100, -538
-26, 57, -304
-26, 57, -304
-66, 51, -179
-59, 164, -47
-115, 125, 560
-207, -95, 1107
-152, 33, 1517
-58, 249, 1891
-10, 302, 1998
-,-,-
89, 56, 1313
89, 56, 1313
44, 56, 1518
-44, 16, 1806
-84, 105, 1981
-142, 140, 1998
-142, 140, 1998
-114, 197, 1944
-19, 302, 1620
34, 267, 1316
24, 178, 1090
24, 104, 922
13, 20, 752
13, 20, 752
7, -82, 567
35, -100, 342
70, -112, 53
70, -112, 53
93, -109, -168
103, -114, -267
106, -2, -501
136, 153, -463
93, 197, -546
32, 211, -397
32, 211, -397
-72, 98, -201
-89, 10, 26
-60, -50, 479
-100, -92, 1035
-184, -40, 1663
-184, -40, 1663
-,-,-
136, 160, 1110
181, 203, 1373
147, 51, 1625
147, 51, 1625
94, -85, 1696
46, -90, 1793
-26, -54, 1967
-66, -38, 1970
-44, 85, 1815
-24, 163, 1559
-24, 163, 1559
-15, 167, 1213
-2, 150, 1025
-47, 75, 927
-41, 50, 805
6, 79, 639
6, 79, 639
29, 87, 466
63, 30, 149
63, 30, 149
119, 40, -153
86, -27, -275
37, -100, -617
101, 82, -707
101, 82, -707
153, 185, -706
-,-,-
87, 53, 1458
87, 53, 1458
91, 191, 1644
0, 190, 1895
-78, 188, 1991
-135, 164, 1983
-124, 199, 1845
-98, 201, 1535
-98, 201, 1535
-21, 196, 1246
35, 172, 974
29, 96, 841
15, -33, 737
53, -53, 543
53, -53, 543
103, -28, 411
88, -129, 148
95, -153, -59
135, -150, -176
187, -107, -388
187, -107, -388
227, 8, -398
211, 58, -424
144, 41, -422
74, 30, -379
3, -36, -300
3, -36, -300
-4, 0, -67
-23, 23, 315
-94, 32, 781
-94, 32, 781
-98, 157, 1523
-80, 277, 1987
-,-,-
214, 108, 1212
113, 22, 1509
-18, -31, 1873
-18, -31, 1873
-127, -64, 1998
-126, 33, 1998
-89, 211, 1993
-119, 273, 1914
-140, 337, 1707
-151, 284, 1387
-138, 165, 1044
-77, 74, 722
-21, 36, 528
-21, 36, 528
13, 14, 437
25, -49, 361
70, -101, 174
70, -101, 174
132, -131, -39
155, -173, -207
151, -221, -270
159, -172, -350
214, -15, -350
215, 46, -402
164, 32, -349
164, 32, -349
122, 55, -290
-,-,-
97, -6, 996
189, 89, 1100
189, 89, 1100
193, 57, 1325
116, -86, 1534
