-,-,-
14, -38, 993
10, -53, 978
10, -53, 978
7, -41, 968
20, -42, 989
25, -58, 997
25, -58, 997
26, -59, 1000
22, -60, 987
25, -35, 982
20, -33, 977
20, -33, 977
12, -52, 981
6, -49, 997
8, -49, 1024
8, -49, 1024
26, -49, 1034
46, -51, 1072
42, -36, 1134
21, -32, 1212
21, -32, 1212
3, -58, 1268
-5, -53, 1321
-2, -27, 1408
46, -43, 1492
44, -66, 1518
44, -66, 1518
12, -66, 1499
8, -54, 1516
21, -104, 1561
35, -151, 1522
51, -140, 1378
51, -140, 1378
45, -104, 1164
25, -98, 978
26, -116, 875
32, -108, 804
21, -106, 698
21, -106, 698
33, -87, 564
29, -61, 472
-10, -55, 387
-23, -66, 295
-23, -66, 295
-3, -11, 215
16, 5, 133
-8, 13, 82
-8, 13, 82
-79, -15, 96
-153, -13, 144
-183, -47, 261
-178, -55, 380
-178, -55, 380
-136, -30, 400
-84, -4, 465
-81, -57, 641
-88, -74, 847
-57, -90, 955
-57, -90, 955
6, -90, 1118
73, -45, 1457
129, -43, 1794
165, -102, 1932
142, -103, 1931
136, -105, 1968
119, -125, 1898
119, -125, 1898
96, -136, 1711
95, -126, 1527
67, -105, 1368
23, -59, 1226
-,-,-
19, -88, 1137
2, -109, 1268
41, -72, 1354
44, -6, 1465
44, -93, 1729
44, -93, 1729
57, -147, 1901
63, -146, 1883
97, -171, 1853
149, -167, 1879
148, -137, 1775
128, -162, 1591
161, -205, 1424
205, -172, 1251
205, -172, 1251
173, -132, 952
123, -122, 698
153, -147, 608
177, -141, 552
127, -82, 430
35, -53, 307
-66, -37, 252
-66, -37, 252
-86, -42, 232
-89, -33, 262
-127, -22, 262
-162, -19, 252
-185, -6, 223
-185, -6, 223
-199, -10, 224
-206, -42, 283
-215, -54, 372
-218, -43, 399
-213, -59, 406
-133, -78, 458
-50, -57, 539
-50, -57, 539
-52, -54, 560
-82, -56, 527
-122, -87, 549
-124, -72, 620
-169, -35, 681
-169, -35, 681
-142, 49, 815
-67, -73, 1121
-18, -137, 1404
54, -41, 1490
180, 5, 1783
278, -78, 1988
278, -78, 1988
294, -132, 1995
254, -143, 1937
-,-,-
162, -68, 1019
162, -68, 1019
170, -98, 1062
185, -101, 1059
192, -66, 1072
192, -62, 1058
185, -49, 1050
168, -49, 1077
147, -49, 1096
134, -52, 1163
134, -52, 1163
123, -70, 1302
124, -55, 1457
119, -36, 1574
98, -29, 1677
103, -60, 1810
152, -98, 1885
152, -98, 1885
171, -106, 1818
144, -116, 1679
165, -126, 1603
171, -149, 1496
152, -127, 1340
128, -94, 1116
116, -107, 917
184, -134, 776
281, -117, 696
251, -66, 517
251, -66, 517
93, -22, 296
-37, -52, 94
-91, -31, 2
-91, -31, 2
-142, 9, -17
-168, -5, 6
-192, -12, -11
-239, -10, -56
-239, -10, -56
-302, -9, -12
-322, -10, 137
-306, -50, 295
-250, -30, 369
-184, -12, 380
-106, 10, 554
-106, 10, 554
-78, -57, 675
-69, -135, 638
-25, -131, 600
37, -109, 778
153, -94, 1055
166, -126, 1025
11, -76, 952
11, -76, 952
-57, -85, 1239
-,-,-
257, -45, 1804
321, 19, 1828
-,-,-
103, -61, 964
99, -60, 967
117, -66, 992
117, -66, 992
137, -79, 1008
125, -77, 1038
104, -81, 1134
61, -82, 1308
37, -86, 1644
37, -86, 1644
92, -96, 1971
97, -128, 1998
71, -122, 1998
71, -152, 1945
97, -182, 1785
161, -154, 1644
177, -160, 1486
181, -128, 1219
181, -128, 1219
184, -94, 935
153, -108, 739
129, -108, 596
104, -97, 487
54, -69, 460
31, -64, 402
31, -64, 402
6, -30, 307
-47, -17, 225
-116, -4, 222
-116, -4, 222
-154, 11, 203
-211, 8, 162
-203, 5, 148
-153, -13, 187
-138, -21, 215
-138, -21, 215
-168, -45, 260
-193, -13, 305
-176, -12, 375
-91, -40, 486
-53, -39, 562
-39, -58, 555
-39, -58, 555
-57, -97, 535
-86, -78, 592
-,-,-
105, -78, 1200
90, -77, 1310
113, -75, 1548
148, -88, 1731
153, -154, 1847
197, -161, 1897
247, -155, 1925
230, -164, 1911
157, -180, 1792
140, -196, 1672
139, -183, 1498
139, -183, 1498
107, -152, 1352
85, -134, 1227
46, -99, 1028
54, -92, 903
81, -114, 826
78, -99, 657
78, -99, 657
50, -51, 533
45, -44, 434
11, -58, 365
11, -58, 365
-38, -46, 304
-70, -21, 234
-109, -7, 221
-189, -7, 235
-246, 1, 243
-246, 1, 243
-270, -3, 222
-289, 7, 173
-291, 4, 197
-291, 4, 197
-273, -16, 249
-259, -21, 316
-230, -12, 354
-211, -27, 409
-180, -47, 449
-107, -44, 466
-,-,-
160, -29, 1075
140, -17, 1177
156, -31, 1271
184, -24, 1412
207, -29, 1608
207, -29, 1608
195, -70, 1738
185, -114, 1776
193, -119, 1775
195, -118, 1750
172, -137, 1757
182, -145, 1707
227, -156, 1646
242, -137, 1502
209, -127, 1262
139, -109, 1059
109, -80, 889
109, -80, 889
118, -66, 775
76, -45, 683
20, -36, 533
52, -45, 366
52, -45, 366
79, -40, 226
67, -1, 173
3, -6, 86
3, -6, 86
-71, 0, -30
-96, -14, -103
-96, -14, -103
-91, -30, -141
-130, -17, -175
-176, -13, -131
-182, -27, -40
-164, -19, 106
-150, -44, 220
-133, -31, 286
-118, -5, 330
-118, -5, 330
-83, 8, 424
-61, -37, 550
-49, -116, 814
66, -91, 947
66, -91, 947
159, -19, 1093
159, -22, 1493
218, -82, 1827
337, -101, 1996
468, -64, 1998
357, 8, 1998
-,-,-
-14, -50, 1514
-14, -50, 1514
35, -73, 1710
49, -86, 1763
107, -87, 1818
166, -106, 1900
175, -125, 1793
155, -133, 1672
141, -132, 1552
171, -119, 1435
171, -119, 1435
222, -113, 1326
190, -112, 1094
113, -65, 859
35, -57, 717
-4, -58, 593
-13, -28, 464
-13, -28, 464
-20, -15, 338
-55, -28, 245
-94, -19, 192
-148, -25, 121
-146, -29, 93
-146, -29, 93
-115, -42, 93
-142, -49, 75
-196, -44, -2
-236, -59, 6
-246, -76, 102
-246, -76, 102
-232, -79, 198
-230, -64, 248
-219, -27, 303
-181, -28, 408
-109, -71, 470
-72, -108, 412
-76, -97, 574
-76, -97, 574
-98, -59, 768
-44, 10, 769
85, -1, 750
35, -32, 1038
35, -32, 1038
-23, -24, 1235
111, 22, 1252
308, 4, 1504
404, 13, 1920
446, 41, 1998
446, 41, 1998
-,-,-
79, 13, 1077
103, 33, 1310
103, 33, 1310
171, 53, 1532
188, 89, 1604
252, 98, 1781
300, 53, 1934
300, 53, 1934
303, 21, 1949
308, -22, 1894
308, -48, 1888
280, -51, 1804
253, -64, 1706
236, -58, 1613
218, -39, 1483
218, -39, 1483
147, -27, 1285
71, -49, 1115
92, -73, 990
140, -72, 890
115, -55, 743
115, -55, 743
44, -33, 563
-3, -53, 436
0, -67, 355
0, -67, 355
-18, -39, 312
-69, -32, 257
-131, -44, 156
-152, -34, 108
-135, -24, 101
-135, -24, 101
-135, -15, 74
-139, -30, 15
-155, -59, 15
-183, -69, 86
-181, -37, 137
-165, -31, 120
-165, -31, 120
-139, -30, 224
-141, -17, 394
-129, -26, 417
-80, -48, 382
-44, -18, 538
-29, -47, 789
-29, -47, 789
-26, -84, 876
58, -60, 846
111, 31, 1037
59, 49, 1335
59, 49, 1335
170, 6, 1454
478, 23, 1548
528, 105, 1746
389, 73, 1934
395, 41, 1995
395, 41, 1995
511, 41, 1998
-,-,-
145, -36, 1112
161, -25, 1176
195, 6, 1311
195, 6, 1311
227, 22, 1484
264, 19, 1664
293, 2, 1783
252, -11, 1837
252, -11, 1837
243, -8, 1883
255, -13, 1858
271, -22, 1813
281, -40, 1717
292, -47, 1635
278, -50, 1528
236, -60, 1334
236, -60, 1334
171, -51, 1138
90, -65, 982
24, -85, 872
33, -58, 794
83, -60, 725
83, -60, 725
102, -38, 613
50, -19, 476
-21, -17, 366
-61, -17, 244
-61, -17, 244
-87, -25, 156
-96, -26, 100
-112, -21, 97
-119, -23, 129
-149, -50, 98
-149, -50, 98
-164, -56, 36
-194, -59, 58
-207, -39, 139
-191, -32, 227
-168, -42, 266
-168, -42, 266
-147, -24, 366
-109, -26, 505
-104, -52, 544
-77, -54, 478
-14, 7, 618
37, 20, 921
37, 20, 921
47, -1, 1013
40, -19, 990
40, -19, 990
14, 2, 1023
29, -33, 1195
72, -39, 1192
158, -44, 1142
158, -44, 1142
149, 4, 1161
136, 19, 1292
276, 13, 1425
441, 7, 1478
500, 47, 1556
500, 47, 1556
435, 86, 1723
-,-,-
149, -11, 1675
129, -17, 1771
145, -4, 1790
145, -4, 1790
187, -31, 1843
222, -71, 1891
239, -74, 1790
218, -70, 1643
205, -74, 1547
200, -56, 1507
200, -56, 1507
157, -48, 1372
107, -34, 1223
68, -28, 1097
43, -37, 974
80, -64, 795
80, -64, 795
119, -31, 723
123, -31, 658
86, -6, 530
38, -10, 431
38, -10, 431
7, -61, 334
-16, -60, 268
-65, -55, 197
-65, -55, 197
-120, -24, 152
-174, -16, 140
-209, -33, 138
-224, -48, 104
-216, -52, 106
-230, -37, 167
-243, -9, 242
-243, -9, 242
-236, 5, 301
-145, -43, 392
-93, -59, 640
-98, -28, 770
-69, -43, 641
-69, -43, 641
-44, -92, 457
-17, -28, 542
-34, -5, 826
-89, -54, 859
-89, -54, 859
-39, -84, 644
5, -93, 578
-4, -57, 855
-15, 11, 970
-15, 11, 970
84, 3, 996
169, -29, 1212
234, -26, 1472
345, 46, 1641
345, 46, 1641
512, 79, 1793
494, 55, 1992
379, 23, 1998
-,-,-
58, 64, 1755
82, 19, 1846
161, 59, 1910
161, 59, 1910
245, 77, 1959
281, 36, 1965
287, -4, 1898
294, 6, 1768
261, 9, 1617
261, 9, 1617
206, -1, 1485
169, -19, 1332
176, -35, 1208
142, -61, 1055
80, -56, 879
80, -56, 879
35, -36, 693
68, -40, 561
134, -44, 541
134, -44, 541
122, -46, 482
58, -53, 372
-24, -45, 203
-114, -14, 71
-149, -16, 61
-149, -16, 61
-138, -30, 75
-145, -42, 57
-194, -42, 20
-257, -49, 27
-257, -49, 27
-306, -56, 86
-297, -41, 177
-250, -40, 276
-184, -50, 385
-117, -41, 515
-47, -64, 571
-47, -64, 571
5, -95, 529
30, -130, 463
35, -91, 624
48, -19, 841
48, -19, 841
147, -66, 834
244, -41, 862
153, -13, 1064
42, 31, 1233
42, 31, 1233
156, -35, 1231
361, -66, 1362
352, -58, 1628
339, 20, 1802
382, 39, 1828
424, -9, 1834
424, -9, 1834
-,-,-
208, 70, 1591
202, 55, 1731
203, 29, 1968
226, 8, 1968
267, -11, 1837
267, -11, 1837
299, 9, 1723
334, 17, 1671
340, -34, 1639
245, -48, 1423
184, -65, 1280
148, -64, 1208
148, -64, 1208
104, -38, 1086
93, -2, 932
66, 19, 861
50, -4, 800
50, -4, 800
57, -3, 702
75, 7, 600
75, 7, 600
96, 19, 500
136, 17, 384
155, 14, 319
155, 14, 319
121, 12, 261
38, 0, 150
-45, -30, 58
-45, -30, 58
-120, -61, 46
-133, -70, 81
-141, -48, 32
-142, -30, 29
-142, -30, 29
-158, -17, 141
-165, -29, 290
-150, -45, 360
-120, -56, 381
-83, -39, 483
-46, -28, 606
-46, -28, 606
7, -32, 591
51, -93, 542
82, -104, 659
82, -104, 829
44, -69, 829
-40, -33, 827
-78, -91, 776
-48, -79, 987
-11, -19, 1232
-11, -19, 1232
-25, 38, 1243
23, 53, 1179
189, 45, 1415
292, 34, 1725
358, 90, 1850
358, 90, 1850
367, 161, 1967
360, 147, 1998
351, 89, 1998
-,-,-
132, 0, 1458
132, 0, 1458
174, 21, 1605
212, 41, 1734
236, 27, 1896
263, -16, 1952
263, -16, 1952
282, -47, 1884
314, -42, 1806
321, -53, 1788
319, -69, 1785
286, -53, 1646
251, -38, 1422
233, -39, 1278
233, -39, 1278
154, -36, 1135
62, -32, 938
8, -45, 750
41, -62, 694
41, -62, 694
86, -32, 667
82, -17, 614
33, -8, 489
29, -26, 345
29, -26, 345
32, -35, 258
14, -50, 235
-12, -40, 230
-12, -40, 230
-38, -28, 236
-83, -36, 227
-136, -33, 175
-129, -35, 184
-137, -43, 189
-113, -43, 207
-113, -43, 207
-92, -37, 287
-74, -10, 375
-79, 8, 421
-126, 21, 451
-126, 21, 451
-125, -5, 462
-90, -17, 472
-73, -62, 522
-61, -75, 638
-85, -75, 695
